18:00:05:152 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:619 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
18:00:05:620 ->  S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
